HP dynamic modelling [kW],T_in [C°],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [W],Efficiency [K/J]
0.0,18.991176689435505,18.5,12.0,-3258.7806986688947,5.415101363928656e-07
0.0,18.97354886466679,15.0,12.0,-3251.838495332974,5.415101363928656e-07
0.0,18.955958592641117,15.0,12.0,-3244.9110571971028,5.415101363928656e-07
0.0,18.938405793488485,15.0,12.0,-3237.9983528580747,5.415101363928656e-07
0.0,18.920890387508763,15.0,12.0,-3231.1003509794764,5.415101363928656e-07
0.0,18.903412295171336,15.0,12.0,-3224.2170202915436,5.415101363928656e-07
0.0,18.885971437114726,15.0,12.0,-3217.3483295910137,5.415101363928656e-07
0.0,18.868567734146268,15.0,12.0,-3210.4942477409963,5.415101363928656e-07
0.0,18.851201107241693,15.0,12.0,-3203.654743670814,5.415101363928656e-07
0.0,18.833871477544832,15.0,12.0,-3196.829786375879,5.415101363928656e-07
0.0,18.816578766367222,15.0,12.0,-3190.019344917544,5.415101363928656e-07
0.0,18.79932289518775,15.0,12.0,-3183.22338842296,5.415101363928656e-07
0.0,18.781755643806154,15.0,11.0,-3305.0237727093136,5.415101363928656e-07
0.0,18.763877658598556,15.0,11.0,-3297.9890851852715,5.415101363928656e-07
0.0,18.746037726412847,15.0,11.0,-3290.969359428085,5.415101363928656e-07
0.0,18.728235766315734,15.0,11.0,-3283.9645636164905,5.415101363928656e-07
0.0,18.710471697546048,15.0,11.0,-3276.9746659969005,5.415101363928656e-07
0.0,18.69274543951439,15.0,11.0,-3269.9996348832597,5.415101363928656e-07
0.0,18.67505691180277,15.0,11.0,-3263.039438656912,5.415101363928656e-07
0.0,18.657406034164225,15.0,11.0,-3256.094045766443,5.415101363928656e-07
0.0,18.639792726522465,15.0,11.0,-3249.163424727543,5.415101363928656e-07
0.0,18.62221690897151,15.0,11.0,-3242.247544122867,5.415101363928656e-07
0.0,18.604678501775332,15.0,11.0,-3235.3463726018886,5.415101363928656e-07
0.0,18.58717742536748,15.0,11.0,-3228.459878880757,5.415101363928656e-07
0.0,18.569713600350727,15.0,11.0,-3221.5880317421575,5.415101363928656e-07
0.0,18.552286947496725,15.0,11.0,-3214.7308000351736,5.415101363928656e-07
0.0,18.534897387745623,15.0,11.0,-3207.888152675138,5.415101363928656e-07
0.0,18.517544842205716,15.0,11.0,-3201.060058643496,5.415101363928656e-07
0.0,18.500229232153092,15.0,11.0,-3194.2464869876667,5.415101363928656e-07
0.0,18.482950479031267,15.0,11.0,-3187.447406820895,5.415101363928656e-07
0.0,18.46536036260469,15.0,10.0,-3309.244673946496,5.415101363928656e-07
0.0,18.44745952921425,15.0,10.0,-3302.206875759285,5.415101363928656e-07
0.0,18.4295967656727,15.0,10.0,-3295.1840458227034,5.415101363928656e-07
0.0,18.411771991011655,15.0,10.0,-3288.1761523016944,5.415101363928656e-07
0.0,18.39398512443497,15.0,10.0,-3281.183163428918,5.415101363928656e-07
0.0,18.376236085318318,15.0,10.0,-3274.205047504591,5.415101363928656e-07
0.0,18.35852479320885,18.5,10.0,-3267.241772896355,5.415101363928656e-07
0.0,18.34085116782483,18.5,10.0,-3260.2933080391253,5.415101363928656e-07
0.0,18.32321512905527,18.5,10.0,-3253.359621434954,5.415101363928656e-07
0.0,18.30561659695956,18.5,10.0,-3246.4406816528813,5.415101363928656e-07
0.0,18.288055491767114,18.5,10.0,-3239.5364573287993,5.415101363928656e-07
0.0,18.270531733877004,18.5,10.0,-3232.6469171653034,5.415101363928656e-07
0.0,18.253058698194273,18.5,10.0,-3220.802836994635,5.415101363928656e-07
0.0,18.2356362769942,18.5,10.0,-3213.953083622689,5.415101363928656e-07
0.0,18.218250908444524,18.5,10.0,-3207.1178985616853,5.415101363928656e-07
0.0,18.200902513740274,18.5,10.0,-3200.2972508271746,5.415101363928656e-07
