HP dynamic modelling [kW],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [kW],Efficiency [K/J]
8.0,20.0,12.0,-10094.331346302362,3.867929545663325e-07
8.0,20.0,12.0,-9491.790366294103,3.867929545663325e-07
8.0,20.0,12.0,-9066.482005859107,3.867929545663325e-07
8.0,14.5,12.0,-8748.67675550849,3.867929545663325e-07
0.0,14.5,12.0,-7526.133463964579,3.867929545663325e-07
0.0,14.5,12.0,-5625.915818155155,3.867929545663325e-07
0.0,14.5,12.0,-4376.400574727074,3.867929545663325e-07
3.4779648069061526,14.5,12.0,-3879.5616737268065,3.867929545663325e-07
3.742196523845701,14.5,12.0,-3797.243395465821,3.867929545663325e-07
3.7664318316783696,14.5,12.0,-3761.4464196826702,3.867929545663325e-07
3.749253609000539,14.5,12.0,-3734.1220867596435,3.867929545663325e-07
3.725271681442303,14.5,12.0,-3708.631078759354,3.867929545663325e-07
3.7966736426058905,14.5,11.0,-3941.5290233795413,3.867929545663325e-07
3.8872884289658263,14.5,11.0,-3901.942755265481,3.867929545663325e-07
3.8876883043716592,14.5,11.0,-3880.0197065871253,3.867929545663325e-07
3.872748875621835,14.5,11.0,-3861.410475192528,3.867929545663325e-07
3.855425068511545,14.5,11.0,-3843.6267374894583,3.867929545663325e-07
3.837943845307189,14.5,11.0,-3826.2352430079472,3.867929545663325e-07
3.82068413758941,14.5,11.0,-3809.156854400523,3.867929545663325e-07
3.8037066971099764,14.5,11.0,-3792.3735011597073,3.867929545663325e-07
3.787017566804741,14.5,11.0,-3775.877709377649,3.867929545663325e-07
3.7706134501260067,14.5,11.0,-3759.663909084589,3.867929545663325e-07
3.7544895215372662,14.5,11.0,-3743.7269360494665,3.867929545663325e-07
3.7386407697865254,14.5,11.0,-3728.0617724197296,3.867929545663325e-07
3.723062227737478,14.5,11.0,-3712.6635006792303,3.867929545663325e-07
3.7077490105449216,14.5,11.0,-3697.527294354685,3.867929545663325e-07
3.692696320864991,14.5,11.0,-3682.6484150727056,3.867929545663325e-07
3.677899448416156,14.5,11.0,-3668.022210734371,3.867929545663325e-07
3.6633537685925717,14.5,11.0,-3653.644113906094,3.867929545663325e-07
