HP dynamic modelling [kW],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [kW],Efficiency [K/J]
0.0,18.5,12.0,-4711.906916351122,2.2562922349702734e-07
0.0,18.5,12.0,-4402.459233305886,2.2562922349702734e-07
3.700952526205583,18.5,12.0,-4259.376636133493,2.2562922349702734e-07
4.012635106456673,15.0,12.0,-4227.272419341125,2.2562922349702734e-07
0.0,15.0,12.0,-4055.0609360822123,2.2562922349702734e-07
0.0,15.0,12.0,-3742.519395025976,2.2562922349702734e-07
0.0,15.0,12.0,-3454.0015040550948,2.2562922349702734e-07
0.0,15.0,12.0,-3187.6607525589257,2.2562922349702734e-07
0.0,15.0,12.0,-2941.7925566995973,2.2562922349702734e-07
0.0,15.0,12.0,-2714.8233506154397,2.2562922349702734e-07
0.0,15.0,12.0,-2505.300516097973,2.2562922349702734e-07
0.0,15.0,12.0,-2326.1193970036884,2.2562922349702734e-07
0.0,15.0,11.0,-2421.558747052191,2.2562922349702734e-07
0.0,15.0,11.0,-2413.129060521892,2.2562922349702734e-07
3.2044959496248566,15.0,11.0,-2407.777737149354,2.2562922349702734e-07
3.307768794724541,15.0,11.0,-2396.4145539267597,2.2562922349702734e-07
3.310693255871911,15.0,11.0,-2394.244569225196,2.2562922349702734e-07
3.310191574832584,15.0,11.0,-2392.3919270046677,2.2562922349702734e-07
3.3086667560224443,15.0,11.0,-2390.636405058813,2.2562922349702734e-07
3.306833637264208,15.0,11.0,-2388.9124879622027,2.2562922349702734e-07
3.284125732591747,15.0,11.0,-2389.101324210745,2.2562922349702734e-07
3.259987685301337,15.0,11.0,-2389.4247592452125,2.2562922349702734e-07
3.2559944576899285,15.0,11.0,-2387.909202946928,2.2562922349702734e-07
0.0,15.0,11.0,-2392.517549882731,2.2562922349702734e-07
3.2766605531656072,15.0,11.0,-2382.2623184560503,2.2562922349702734e-07
3.523226442630812,15.0,11.0,-2357.8064493547076,2.2562922349702734e-07
3.73240578987901,15.0,11.0,-2336.7795339378763,2.2562922349702734e-07
3.9253359746023535,15.0,11.0,-2317.2546936144213,2.2562922349702734e-07
4.033668465682536,15.0,11.0,-2305.488457455084,2.2562922349702734e-07
4.093637405286791,15.0,11.0,-2298.1590660852553,2.2562922349702734e-07
3.446568387738705,15.0,10.0,-2543.0453739825316,2.2562922349702734e-07
0.0,15.0,10.0,-2624.3022918745382,2.2562922349702734e-07
